,company_name,sector,tax_revenue,number_of_employees,location,ceo_name,ceo_name_lower,ceo_name_lower_ordered
0,S&F Co.,Electronics,$50000000    ,300,Tehran,John Smith,john smith,john smith
1,Ahvazِ Oil Refining,Oil & Gas,$1500000000    ,5000,Ahvaz,Ali Khan,ali khan,ali khan
2,Arzan Shargh Trading Ltd.,Trading,$3000000    ,20,Mashhad,Leila Hamidi,leila hamidi,hamidi leila
3,Amin Pharmaceutical Company - شرکت امین دارویی,Pharma,$80000000    ,200,Tehran,Hamid Rezaei,hamid rezaei,hamid rezaei
4,South-Pars Gas Field - میدان گازی جنوب پارس,Energy & Gas,$10000000000    ,2500,Asaluyeh,Ahmad Rahimi,ahmad rahimi,ahmad rahimi
5,Raja Rail Transportation,Logistics,$30000000    ,150,Tehran,Mohammad Gharib,mohammad gharib,gharib mohammad
6,بافتِ بزرگ,Textile,$5000000    ,100,Esfahan,Sara Jafari,sara jafari,jafari sara
7,Re&Co,Services,$10000000    ,75,Tehran,Reza Mousavi,reza mousavi,mousavi reza
8,Sadr Holding,Investment Holding,$2000000000    ,100,Tehran,Seyed Ahmad Hashemi,seyed ahmad hashemi,ahmad hashemi seyed
9,Sepehr Sazeh,Construction,$50000000    ,500,Tehran,Ali Rezaei,ali rezaei,ali rezaei
10,S@S Food Group,Food,$20000000    ,200,Shiraz,Saeed Azizian,saeed azizian,azizian saeed
11,Sana Kish,Tourism & Hospitality,$5000000    ,50,Kish Island,Amir Abbas Khadem,amir abbas khadem,abbas amir khadem
12,Sh. Chemical Company,Chemicals,$150000000    ,750,Tehran,Hassan Mirzaei,hassan mirzaei,hassan mirzaei
13,Hammer & Nails,Construction,$25000000    ,150,Tehran,Bahram Nasr,bahram nasr,bahram nasr
14,Nezam Din & Co.,Legal,$2000000    ,20,Tehran,Mohammad Hosseini,mohammad hosseini,hosseini mohammad
15,Persian Gulf Steel Co.,Steel,$500000000    ,2000,Bandar Abbas,Abdollah Azimi,abdollah azimi,abdollah azimi
16,Mahboubi & Sons,Agriculture,$10000000    ,50,Mashhad,Abbas Mahboubi,abbas mahboubi,abbas mahboubi
17,Eshragh Glass Company,Glass,$15000000    ,200,Isfahan,Hossein Rahimi,hossein rahimi,hossein rahimi
18,Arta Energy,Renewable Energy,$2500000    ,50,Tehran,Mohammad Mohammadi,mohammad mohammadi,mohammad mohammadi
